Transporteur ID,Pays,Tarif,Delai de Livraison (jours),IDTRANSPORTEUR
1,France,20,1,a00Qy00000it6OPIAY
1,Belgique,18,3,a00Qy00000it6OPIAY
1,Suisse,12,4,a00Qy00000it6OPIAY
1,Luxembourg,22,2,a00Qy00000it6OPIAY
2,France,28,1,a00Qy00000it6OQIAY
2,Belgique,25,2,a00Qy00000it6OQIAY
2,Suisse,15,4,a00Qy00000it6OQIAY
2,Luxembourg,30,3,a00Qy00000it6OQIAY
3,France,10,5,a00Qy00000it6ORIAY
3,Belgique,12,4,a00Qy00000it6ORIAY
4,France,23,2,a00Qy00000it6OSIAY
4,Belgique,20,3,a00Qy00000it6OSIAY
4,Suisse,18,4,a00Qy00000it6OSIAY
4,Luxembourg,25,1,a00Qy00000it6OSIAY
5,France,35,1,a00Qy00000it6OTIAY
5,Belgique,30,3,a00Qy00000it6OTIAY
5,Suisse,22,2,a00Qy00000it6OTIAY
5,Luxembourg,28,4,a00Qy00000it6OTIAY
6,France,14,3,a00Qy00000it6OUIAY
6,Luxembourg,18,5,a00Qy00000it6OUIAY
7,France,7,6,a00Qy00000it6OVIAY
7,Belgique,10,5,a00Qy00000it6OVIAY
8,Suisse,25,2,a00Qy00000it6OWIAY
8,Luxembourg,22,3,a00Qy00000it6OWIAY
9,France,10,4,a00Qy00000it6OXIAY
9,Belgique,15,3,a00Qy00000it6OXIAY
10,France,20,4,a00Qy00000it6OYIAY
10,Suisse,25,3,a00Qy00000it6OYIAY
10,Luxembourg,22,2,a00Qy00000it6OYIAY
11,France,18,2,a00Qy00000it6OZIAY
11,Belgique,15,3,a00Qy00000it6OZIAY
11,Suisse,12,5,a00Qy00000it6OZIAY
11,Luxembourg,20,4,a00Qy00000it6OZIAY
12,France,15,5,a00Qy00000it6OaIAI
12,Belgique,12,6,a00Qy00000it6OaIAI
12,Luxembourg,18,4,a00Qy00000it6OaIAI
13,France,23,3,a00Qy00000it6ObIAI
13,Belgique,20,4,a00Qy00000it6ObIAI
13,Suisse,28,2,a00Qy00000it6ObIAI
13,Luxembourg,25,3,a00Qy00000it6ObIAI
14,France,30,2,a00Qy00000it6OcIAI
14,Belgique,28,3,a00Qy00000it6OcIAI
14,Suisse,25,4,a00Qy00000it6OcIAI
14,Luxembourg,35,1,a00Qy00000it6OcIAI
15,France,12,6,a00Qy00000it6OdIAI
15,Belgique,10,5,a00Qy00000it6OdIAI
